category,avg(views)
Music,6194063.860634184
Film & Animation,3102942.9466495947
Nonprofits & Activism,2963884.0701754387
Gaming,2610653.94601227
Entertainment,2067045.8387388291
Sports,2025969.0308187671
People & Blogs,1529883.9775561097
Comedy,1480308.420017356
Science & Technology,1452626.7455226989
Autos & Vehicles,1355965.4088541667
