month,avg(views)
,
2017-11,1237293.5705882353
2017-12,1328581.3016129031
2018-01,1111399.056763285
2018-02,1444283.771854245
2018-03,1867793.041565583
2018-04,3039598.645625
2018-05,4707389.350863042
2018-06,5135894.197553077
